Game Title,Platform,Year,Genre,Publisher,Developer,Release Date,User Rating,Global Sales in Millions,North America Sales,Europe Sales,Japan Sales,Other Sales,Total Revenue,Physical vs Digital Sales %,Peak Concurrent Players,Subscription Revenue,Average Playtime Hours,Player Retention %,Year Over Year Growth %,Best Selling Genre By Year,Sales Growth
FIFA 22,Xbox 360,2018,Shooter,Nintendo,Nintendo,3/4/2022,3.10,467.04,3.77,1.62,3.14,6.11,23352.14,47.36,756541,3.86,37.36,83.25,5.39,Shooter,967.67
FIFA 22,SNES,2025,Puzzle,Electronic Arts,Treyarch,4/26/2013,8.53,5134.65,2.61,8.60,2.46,1.57,256732.63,47.74,936696,5.59,15.61,89.67,11.32,RPG,999.40
Grand Theft Auto V,Wii,2013,RPG,Nintendo,Bungie,11/28/2024,3.99,38.75,19.42,9.78,2.31,5.35,1937.62,50.07,231638,4.19,27.54,82.75,12.27,Shooter,-99.25
The Witcher 3: Wild Hunt,PC,2015,Adventure,Nintendo,Naughty Dog,8/23/2021,9.86,223.14,9.28,9.04,3.87,7.97,11156.96,56.73,453857,1.64,52.76,84.68,7.84,Platform,475.81
Fortnite,Wii,2020,Puzzle,Activision,Ubisoft,4/12/2012,3.93,519.41,2.55,0.38,1.56,7.77,25970.44,54.61,600669,2.56,7.13,78.15,10.54,Puzzle,132.77
Fortnite,PS4,2021,Adventure,Nintendo,Ubisoft,3/8/2014,4.73,458.12,5.18,2.19,1.77,2.45,22905.96,52.87,678227,0.13,56.83,79.29,5.06,Adventure,-11.80
FIFA 22,Xbox One,2025,Action,Nintendo,Ubisoft,9/1/2022,2.86,3828.99,9.31,5.94,2.57,4.38,191449.26,45.49,882415,7.53,18.78,76.10,5.38,RPG,735.81
Grand Theft Auto V,Wii,2013,Action,Bethesda,Ubisoft,8/31/2023,6.32,29.74,15.80,5.68,3.28,4.36,1487.09,53.87,455267,5.31,71.71,81.43,11.34,Puzzle,-99.22
Super Mario Odyssey,PS4,2018,RPG,Ubisoft,Valve,8/16/2017,3.18,283.55,7.67,8.42,2.48,0.36,14177.74,53.89,504572,9.85,23.44,82.60,11.72,Puzzle,853.39
Animal Crossing: New Horizons,PC,2020,Racing,Bethesda,Rockstar Games,8/15/2025,9.84,576.25,13.91,2.45,3.43,4.16,28812.46,44.77,137408,7.19,90.07,65.17,11.93,Puzzle,103.22
FIFA 22,Xbox One,2013,Racing,Electronic Arts,Ubisoft,1/28/2023,9.38,14.76,0.07,3.22,2.74,5.41,737.89,57.30,273485,4.31,54.74,81.65,9.87,Adventure,-97.44
Animal Crossing: New Horizons,PS3,2021,Action,Electronic Arts,EA Sports,11/22/2021,9.91,1365.33,11.43,3.08,2.38,3.92,68266.44,59.88,310196,1.19,12.00,67.26,10.98,Shooter,9151.53
Red Dead Redemption 2,PC,2017,Adventure,Bethesda,Valve,1/14/2025,7.05,167.32,6.19,6.63,0.10,9.98,8365.78,54.68,447330,9.36,93.59,67.40,6.44,Adventure,-87.75
Call of Duty: Modern Warfare 2,SNES,2010,Puzzle,Sony,Bungie,11/29/2024,8.92,8.15,14.19,6.33,1.12,6.94,407.48,42.64,692964,2.71,51.02,64.55,8.27,Strategy,-95.13
The Legend of Zelda: Breath of the Wild,PS4,2015,Action,Ubisoft,Valve,3/28/2012,6.87,171.35,6.46,4.00,4.24,1.70,8567.50,59.36,643100,4.18,75.24,76.29,10.02,Shooter,2002.55
Call of Duty: Modern Warfare 2,NES,2010,RPG,Nintendo,EA Sports,10/1/2018,3.53,4.81,2.70,2.38,2.38,8.92,240.55,48.77,656175,9.46,31.94,86.59,6.27,Puzzle,-97.19
Super Mario Odyssey,PC,2020,Puzzle,Sony,Nintendo,4/28/2010,1.95,1302.84,4.48,2.29,3.26,2.99,65142.12,52.61,396158,1.09,40.26,78.70,8.42,Platform,26980.27
The Legend of Zelda: Breath of the Wild,GameCube,2020,Strategy,Electronic Arts,Nintendo,12/30/2019,4.78,462.48,16.77,1.48,4.29,6.41,23124.13,40.86,535889,6.03,32.70,78.20,6.20,Action,-64.50
Minecraft,Switch,2021,Shooter,Sony,Ubisoft,4/15/2025,9.90,1174.27,13.82,6.62,2.25,1.41,58713.46,50.97,592658,2.87,5.56,64.05,13.85,Sports,153.91
Call of Duty: Modern Warfare 2,GameCube,2020,Racing,Square Enix,Nintendo,1/25/2011,6.08,100.82,17.62,5.49,3.88,2.40,5041.10,46.24,702224,9.66,50.16,87.32,13.32,Strategy,-91.41
FIFA 22,SNES,2016,Puzzle,Sony,Nintendo,1/2/2018,2.34,233.36,1.50,0.26,0.97,4.40,11667.83,40.59,591259,8.82,83.06,64.12,7.01,Action,131.45
Grand Theft Auto V,PC,2020,Shooter,Sony,Naughty Dog,4/27/2023,7.81,728.32,13.84,4.91,3.75,6.40,36416.21,58.54,542662,2.59,90.15,62.79,13.94,Adventure,212.11
Call of Duty: Modern Warfare 2,SNES,2019,Action,Activision,Ubisoft,12/20/2019,3.51,848.09,2.76,4.23,4.12,7.38,42404.61,59.40,378745,6.68,46.83,69.91,10.41,Strategy,16.44
Call of Duty: Modern Warfare 2,PC,2016,Strategy,Square Enix,Bungie,1/14/2021,6.29,346.63,11.91,2.15,2.41,3.19,17331.36,51.83,817228,1.97,6.47,84.33,6.01,Adventure,-59.13
Call of Duty: Modern Warfare 2,Xbox 360,2022,RPG,Nintendo,Rockstar Games,7/21/2025,5.63,1753.53,7.30,6.33,3.08,2.24,87676.60,42.24,709661,7.33,57.18,62.53,13.00,RPG,405.88
Fortnite,PS3,2019,Strategy,Electronic Arts,Nintendo,1/2/2024,9.74,613.79,15.31,8.05,4.60,1.08,30689.49,43.25,303518,5.95,61.70,80.74,11.10,RPG,-65.00
The Legend of Zelda: Breath of the Wild,Xbox One,2024,Racing,Sony,EA Sports,5/18/2012,4.35,953.39,5.13,0.18,0.60,4.11,47669.63,58.41,652427,8.25,42.79,76.23,10.57,Adventure,55.33
Grand Theft Auto V,Xbox One,2015,Puzzle,Activision,Naughty Dog,3/11/2018,5.60,90.27,13.68,0.34,2.30,4.37,4513.60,44.40,724800,0.16,21.10,65.17,13.40,Puzzle,-90.53
Animal Crossing: New Horizons,SNES,2021,Strategy,Microsoft,Valve,12/13/2020,3.21,1020.16,5.48,7.11,3.85,0.73,51008.24,42.11,326681,7.19,43.29,74.49,5.65,RPG,1030.10
Animal Crossing: New Horizons,Xbox One,2016,Adventure,Square Enix,Naughty Dog,10/16/2010,1.70,79.30,14.82,8.01,4.65,4.28,3965.03,57.95,785390,4.50,79.45,60.70,12.98,Puzzle,-92.23
The Legend of Zelda: Breath of the Wild,SNES,2020,Puzzle,Ubisoft,Rockstar Games,3/13/2013,4.83,1213.95,12.02,4.91,3.49,2.88,60697.75,56.81,816506,7.79,41.25,63.29,6.41,Racing,1430.83
Red Dead Redemption 2,PC,2025,Puzzle,Bethesda,Naughty Dog,5/30/2012,1.60,8168.30,1.19,4.26,4.18,4.93,408415.09,52.77,915099,3.39,54.34,86.76,6.81,Racing,572.87
Fortnite,PS3,2024,Adventure,Square Enix,EA Sports,12/3/2024,5.08,5878.70,15.75,7.74,0.88,5.54,293934.79,51.26,430004,7.47,93.66,69.70,10.38,Strategy,-28.03
Call of Duty: Modern Warfare 2,Switch,2012,Sports,Activision,Bungie,7/28/2023,5.54,3.05,18.19,7.56,1.52,8.36,152.50,49.94,423574,8.55,34.16,64.79,13.78,Puzzle,-99.95
Minecraft,PS4,2011,Action,Sony,EA Sports,8/7/2021,5.45,44.06,6.52,7.47,4.65,0.47,2203.04,42.96,292925,1.46,17.32,84.74,7.81,Racing,1344.63
Fortnite,Xbox 360,2020,Adventure,Square Enix,Ubisoft,12/18/2019,8.25,154.28,19.42,8.40,4.54,4.99,7713.79,42.17,262106,7.47,92.37,76.00,12.87,Adventure,250.14
Minecraft,NES,2022,Puzzle,Square Enix,Valve,7/17/2016,3.94,630.41,0.40,4.13,3.41,1.15,31520.61,58.24,493207,0.31,82.82,85.10,9.16,Puzzle,308.63
The Legend of Zelda: Breath of the Wild,PS4,2023,Puzzle,Electronic Arts,Rockstar Games,9/11/2017,4.93,447.87,10.27,0.45,1.39,8.18,22393.70,42.00,678732,6.11,69.63,67.09,8.98,Adventure,-28.96
The Legend of Zelda: Breath of the Wild,Switch,2012,Action,Electronic Arts,Treyarch,10/30/2024,4.65,42.15,17.62,0.18,3.24,4.02,2107.65,41.16,796006,6.67,24.28,70.72,6.01,Strategy,-90.59
Red Dead Redemption 2,Xbox 360,2023,Strategy,Microsoft,Treyarch,11/30/2010,3.83,437.82,8.49,0.48,2.82,9.19,21890.95,45.53,643535,3.20,28.40,88.68,13.44,Sports,938.64
Super Mario Odyssey,Wii,2024,RPG,Microsoft,Treyarch,11/3/2013,5.45,4016.37,1.42,5.28,0.95,1.15,200818.55,52.71,612446,4.70,60.85,65.39,10.49,Platform,817.36
Super Mario Odyssey,Switch,2014,Strategy,Electronic Arts,Valve,3/31/2025,6.92,125.23,17.99,6.84,2.59,0.31,6261.61,52.12,991325,9.32,42.69,63.86,8.63,Racing,-96.88
The Witcher 3: Wild Hunt,SNES,2010,Puzzle,Electronic Arts,Rockstar Games,2/27/2010,9.41,47.61,14.71,5.26,1.51,6.96,2380.51,53.00,759497,1.26,19.33,61.75,6.71,Sports,-61.98
FIFA 22,PC,2024,Racing,Sony,Ubisoft,2/24/2025,9.72,884.04,12.59,0.86,2.50,9.20,44201.98,45.22,237524,7.68,98.06,79.42,10.13,Sports,1756.82
Red Dead Redemption 2,Wii,2022,Action,Sony,Ubisoft,3/1/2015,6.98,895.91,12.73,2.09,1.66,7.81,44795.27,54.61,579911,4.38,73.97,73.95,6.81,Platform,1.34
Grand Theft Auto V,Xbox One,2015,Racing,Ubisoft,Rockstar Games,3/4/2015,7.93,83.19,2.46,1.26,3.22,3.51,4159.47,54.82,167182,7.61,66.37,60.37,7.03,Strategy,-90.71
Red Dead Redemption 2,PC,2016,Racing,Nintendo,Nintendo,2/25/2011,7.97,188.96,16.50,3.73,1.82,2.60,9447.85,46.54,361963,9.65,41.55,68.76,10.33,Adventure,127.14
Animal Crossing: New Horizons,PS3,2011,Puzzle,Square Enix,EA Sports,8/28/2021,5.87,41.09,17.44,3.22,4.33,7.26,2054.41,44.52,750172,0.20,50.67,70.32,13.63,Adventure,-78.26
FIFA 22,PS3,2017,RPG,Sony,Treyarch,12/6/2020,9.64,322.17,0.90,4.26,1.42,9.16,16108.38,52.79,319244,3.58,77.44,75.07,13.23,Adventure,684.09
Grand Theft Auto V,PS4,2015,Shooter,Activision,Treyarch,11/27/2015,9.29,105.84,8.42,5.57,4.74,9.82,5292.19,52.17,321781,6.90,30.83,87.34,11.24,Adventure,-67.15
Grand Theft Auto V,Wii,2015,Sports,Bethesda,Rockstar Games,11/21/2017,9.87,87.77,14.49,8.69,0.13,4.12,4388.50,52.96,470620,2.38,67.57,79.16,8.27,Action,-17.08
Fortnite,SNES,2015,Racing,Nintendo,Rockstar Games,5/18/2010,2.03,242.29,6.68,7.55,2.49,5.53,12114.56,47.27,595268,2.49,72.52,75.42,7.53,Puzzle,176.05
Animal Crossing: New Horizons,PS3,2013,Puzzle,Microsoft,Bungie,9/2/2021,7.34,90.82,0.03,7.08,4.63,0.68,4540.82,48.34,976812,8.97,90.51,60.96,10.71,Strategy,-62.52
Animal Crossing: New Horizons,NES,2019,Adventure,Square Enix,Rockstar Games,11/4/2018,1.95,908.21,4.68,6.42,1.76,1.70,45410.59,59.34,939255,4.15,87.01,71.96,11.23,Action,900.05
Call of Duty: Modern Warfare 2,PS4,2010,Racing,Sony,Nintendo,11/30/2025,8.00,7.76,9.98,0.29,0.09,4.70,388.11,48.66,470915,3.55,31.24,71.00,14.34,Sports,-99.15
The Witcher 3: Wild Hunt,Switch,2023,Adventure,Electronic Arts,Valve,1/14/2018,7.45,2583.36,13.79,9.01,0.48,8.46,129168.01,54.08,125902,7.83,7.22,72.39,14.33,Action,33180.94
Fortnite,Switch,2011,Puzzle,Ubisoft,Treyarch,5/19/2018,6.73,47.53,7.22,9.69,5.00,6.49,2376.29,41.37,707964,1.21,9.81,83.78,8.25,Puzzle,-98.16
Minecraft,Xbox One,2021,Shooter,Bethesda,Ubisoft,9/11/2018,9.22,1570.34,13.97,3.22,0.24,2.26,78516.99,43.67,538098,6.29,30.06,74.51,6.61,Racing,3204.18
The Legend of Zelda: Breath of the Wild,SNES,2014,Sports,Square Enix,EA Sports,5/15/2017,7.91,11.23,0.37,9.24,1.47,1.38,561.33,55.28,344179,5.94,86.06,70.80,14.70,Sports,-99.29
Call of Duty: Modern Warfare 2,NES,2018,Adventure,Square Enix,Nintendo,5/5/2022,6.85,257.73,18.35,6.19,0.30,2.37,12886.69,51.70,720084,6.21,78.74,83.14,13.43,Shooter,2195.74
Super Mario Odyssey,GameCube,2023,Strategy,Square Enix,Treyarch,1/27/2012,3.47,3881.25,10.51,0.50,3.62,2.88,194062.56,53.09,670054,5.86,91.54,83.12,5.40,Strategy,1405.91
Animal Crossing: New Horizons,PS3,2010,Sports,Activision,EA Sports,12/10/2014,9.41,39.19,3.01,2.19,1.36,3.65,1959.52,56.52,239352,1.62,26.17,61.50,12.23,Action,-98.99
Red Dead Redemption 2,Xbox 360,2017,Sports,Sony,Bungie,1/7/2011,4.59,218.94,12.44,3.22,4.83,6.43,10946.92,42.56,158754,7.91,39.98,63.60,6.75,Action,458.65
Red Dead Redemption 2,GameCube,2017,Puzzle,Ubisoft,Rockstar Games,1/18/2010,9.78,415.82,8.34,7.43,0.00,6.40,20791.15,42.31,395480,6.53,50.79,84.77,9.22,Puzzle,89.93
The Witcher 3: Wild Hunt,Switch,2010,Puzzle,Square Enix,Treyarch,3/21/2025,5.77,7.59,15.19,1.96,1.48,5.25,379.45,59.50,604668,5.26,55.77,74.31,10.78,Adventure,-98.17
Red Dead Redemption 2,NES,2025,Racing,Activision,Naughty Dog,7/28/2012,5.71,7705.47,1.91,3.40,3.33,7.21,385273.25,50.23,244807,6.87,79.75,74.52,8.69,RPG,101434.32
Red Dead Redemption 2,Xbox One,2017,Racing,Square Enix,Valve,5/22/2019,6.51,348.75,4.50,8.67,2.43,5.36,17437.45,50.95,403116,4.70,44.35,71.16,10.11,RPG,-95.47
Call of Duty: Modern Warfare 2,Wii,2024,Action,Square Enix,Naughty Dog,4/28/2023,9.52,1024.09,5.56,5.83,0.14,3.26,51204.64,59.62,592365,9.54,83.06,81.51,6.58,Shooter,193.65
Red Dead Redemption 2,PS4,2010,Strategy,Bethesda,Valve,3/15/2025,3.61,38.96,13.91,5.63,1.87,7.01,1948.02,54.82,377580,8.48,72.61,84.94,9.63,Sports,-96.20
Red Dead Redemption 2,PC,2021,Action,Nintendo,Naughty Dog,10/5/2024,9.68,1222.94,16.19,6.88,4.34,6.36,61147.06,51.87,426591,1.09,7.94,64.06,10.49,Action,3038.93
FIFA 22,PS3,2014,Racing,Square Enix,Valve,2/9/2024,5.75,28.25,8.11,8.33,1.52,7.01,1412.53,42.31,929945,8.71,79.60,73.79,5.78,Shooter,-97.69
Red Dead Redemption 2,Xbox One,2021,Strategy,Sony,EA Sports,4/14/2017,7.56,950.01,17.08,8.83,0.20,0.69,47500.47,56.64,783411,5.20,50.60,61.06,11.66,Adventure,3262.80
Call of Duty: Modern Warfare 2,Switch,2011,RPG,Square Enix,Valve,3/28/2017,8.01,15.34,14.58,9.91,0.13,0.19,767.07,59.22,187122,9.56,33.94,79.07,7.52,Racing,-98.39
Fortnite,Switch,2010,Adventure,Nintendo,Rockstar Games,2/9/2014,6.48,9.46,12.59,3.64,0.56,9.01,473.07,44.19,375589,7.00,14.01,60.19,8.85,Racing,-38.33
Super Mario Odyssey,PS4,2013,Platform,Microsoft,Valve,1/17/2014,2.22,47.28,11.02,4.95,0.74,9.46,2364.12,53.81,517344,5.28,18.99,67.33,5.27,Action,399.74
Super Mario Odyssey,SNES,2022,Strategy,Square Enix,Ubisoft,5/19/2018,9.33,103.84,18.66,6.88,4.46,7.54,5191.99,53.83,414842,0.29,28.36,65.85,12.56,Shooter,119.62
The Legend of Zelda: Breath of the Wild,Switch,2015,Action,Square Enix,EA Sports,6/27/2013,6.25,101.46,12.88,4.11,3.34,3.21,5073.11,49.30,709245,7.03,62.56,88.09,10.37,Action,-2.29
Grand Theft Auto V,GameCube,2013,Strategy,Activision,Bungie,9/24/2014,1.19,43.63,2.18,6.33,3.14,1.54,2181.62,48.01,646972,6.77,90.46,64.26,8.02,Action,-57.00
Super Mario Odyssey,Wii,2025,RPG,Ubisoft,Valve,6/7/2013,4.88,7568.14,17.56,4.78,0.64,5.62,378406.75,58.24,760155,8.73,68.03,63.59,5.15,Strategy,17245.24
Animal Crossing: New Horizons,SNES,2017,Action,Sony,Naughty Dog,6/18/2014,4.50,533.13,11.11,8.68,1.69,9.91,26656.67,47.33,621587,4.06,91.42,63.39,7.74,RPG,-92.96
Call of Duty: Modern Warfare 2,Xbox One,2011,Sports,Square Enix,Valve,7/11/2022,2.59,13.17,6.92,5.37,3.96,9.00,658.36,58.36,568896,4.21,60.71,77.57,13.24,Shooter,-97.53
The Legend of Zelda: Breath of the Wild,Wii,2011,Platform,Ubisoft,Nintendo,8/1/2016,6.75,5.97,19.56,5.68,0.36,0.41,298.66,55.97,667535,0.31,70.92,80.90,11.65,Puzzle,-54.64
Super Mario Odyssey,NES,2011,Action,Nintendo,Treyarch,1/15/2023,1.33,29.59,19.70,8.32,3.05,6.64,1479.41,58.96,764517,0.92,56.65,60.31,9.81,RPG,395.35
The Legend of Zelda: Breath of the Wild,NES,2010,RPG,Bethesda,Ubisoft,5/8/2019,9.43,46.29,2.24,0.74,3.85,7.76,2314.58,48.30,336849,8.02,18.11,79.65,6.77,Sports,56.45
Grand Theft Auto V,Switch,2019,Racing,Square Enix,Treyarch,9/14/2017,2.55,843.95,8.72,4.99,1.66,2.77,42197.67,49.71,365646,4.58,46.42,82.43,6.37,Racing,1723.12
Minecraft,GameCube,2017,Strategy,Square Enix,Nintendo,3/17/2023,9.70,166.39,11.95,9.84,0.88,6.16,8319.56,51.00,833297,1.02,6.35,73.12,7.71,Platform,-80.28
Red Dead Redemption 2,Switch,2010,Racing,Activision,Rockstar Games,4/7/2011,4.45,32.31,19.91,4.55,4.24,9.93,1615.47,41.19,824420,9.23,71.87,61.54,12.39,Adventure,-80.58
Minecraft,SNES,2013,Racing,Activision,Treyarch,1/3/2016,4.52,104.11,9.13,6.20,3.28,0.60,5205.63,55.36,943807,8.88,10.19,75.21,10.47,RPG,222.24
The Legend of Zelda: Breath of the Wild,PC,2014,Puzzle,Nintendo,Treyarch,12/20/2025,3.97,109.00,2.25,5.05,2.99,7.77,5449.79,43.06,471403,1.18,38.22,64.10,5.23,Strategy,4.69
Call of Duty: Modern Warfare 2,Switch,2015,Action,Bethesda,Valve,9/12/2018,4.50,174.92,7.37,5.80,1.07,8.95,8746.06,41.93,975416,0.58,15.73,79.70,9.80,RPG,60.48
Minecraft,PS4,2013,Adventure,Activision,Treyarch,7/14/2024,8.86,62.88,17.02,9.15,4.00,2.77,3143.96,49.84,306410,5.61,58.02,85.54,6.00,Platform,-64.05
The Legend of Zelda: Breath of the Wild,Wii,2025,Platform,Ubisoft,Bungie,10/6/2020,3.35,8271.74,11.71,2.44,3.28,3.63,413587.20,43.34,434803,5.24,74.27,63.81,8.94,Action,13054.99
Fortnite,PS3,2016,Platform,Square Enix,Naughty Dog,2/26/2019,4.80,34.78,4.04,2.00,2.10,6.92,1738.92,45.39,488077,5.02,20.83,73.03,6.26,Strategy,-99.58
Super Mario Odyssey,SNES,2024,Shooter,Nintendo,Naughty Dog,12/6/2025,6.37,4862.13,12.43,3.47,3.39,1.28,243106.70,52.73,811926,9.77,13.74,81.78,7.17,Sports,13880.31
Animal Crossing: New Horizons,PC,2016,Racing,Bethesda,EA Sports,2/5/2011,2.25,144.15,13.54,0.12,4.76,5.33,7207.66,47.82,964238,9.13,17.08,71.48,14.29,Action,-97.04
The Legend of Zelda: Breath of the Wild,Xbox 360,2018,Puzzle,Electronic Arts,Bungie,5/21/2019,6.72,468.89,10.56,9.08,3.98,4.96,23444.56,52.83,806383,1.27,60.28,79.41,12.29,Puzzle,225.27
Minecraft,PC,2017,Platform,Sony,Naughty Dog,9/6/2016,6.73,543.04,7.61,5.55,3.29,6.33,27152.01,42.86,831832,9.64,93.46,65.90,13.00,Strategy,15.81
Fortnite,Wii,2016,Adventure,Square Enix,Nintendo,8/18/2017,3.68,223.26,10.16,8.19,3.03,6.57,11163.15,42.83,942449,5.51,61.77,86.42,11.26,RPG,-58.89
Minecraft,PS3,2013,Shooter,Square Enix,Naughty Dog,6/29/2024,6.12,94.57,10.56,8.13,0.70,9.19,4728.59,47.16,514957,0.19,90.77,69.08,6.12,Adventure,-57.64
Animal Crossing: New Horizons,PS3,2017,RPG,Bethesda,Treyarch,8/21/2010,5.48,117.22,14.58,0.76,1.64,1.08,5861.22,54.32,130496,3.71,37.90,72.45,13.14,Shooter,23.95
Minecraft,Xbox 360,2012,RPG,Square Enix,Bungie,1/20/2024,3.60,63.06,9.66,2.65,3.41,3.72,3152.86,53.05,592298,5.82,37.73,71.96,9.86,Platform,-46.21
Call of Duty: Modern Warfare 2,Wii,2024,Racing,Activision,Naughty Dog,2/9/2019,8.50,3036.87,16.54,9.75,2.28,8.64,151843.69,51.64,255319,4.70,25.56,60.28,6.41,Strategy,4716.06
Call of Duty: Modern Warfare 2,PC,2015,Adventure,Microsoft,Valve,1/24/2019,1.17,11.59,5.05,4.49,0.44,5.66,579.49,56.31,411287,3.31,25.64,80.56,11.38,Platform,-99.62
Minecraft,Switch,2020,Adventure,Nintendo,Valve,4/12/2016,3.15,326.65,3.42,8.68,0.91,7.66,16332.40,57.13,326633,5.62,53.70,85.74,6.50,Action,2718.40
Call of Duty: Modern Warfare 2,Xbox One,2015,Action,Ubisoft,Nintendo,10/2/2016,5.91,251.23,12.61,3.34,2.67,8.25,12561.49,51.16,297120,5.50,43.29,71.34,13.33,Strategy,-23.09
Red Dead Redemption 2,Switch,2016,Action,Electronic Arts,EA Sports,11/5/2017,7.68,94.70,1.06,5.37,3.77,4.55,4735.10,54.26,982929,5.16,75.94,86.83,7.45,Platform,-62.30
Grand Theft Auto V,SNES,2012,Platform,Square Enix,Nintendo,6/10/2015,9.94,85.45,16.60,3.87,1.80,7.93,4272.57,58.52,411143,0.71,32.95,84.20,11.63,Strategy,-9.77
Minecraft,PS4,2016,Strategy,Ubisoft,EA Sports,8/2/2011,4.17,206.56,3.03,5.50,2.34,1.15,10328.22,43.66,712455,8.76,39.50,60.62,12.95,Puzzle,141.73
Animal Crossing: New Horizons,Xbox 360,2020,Platform,Ubisoft,EA Sports,8/18/2012,6.73,495.14,15.18,3.37,3.17,4.00,24756.80,43.72,956746,8.12,84.64,73.94,11.46,Platform,139.70
Grand Theft Auto V,Wii,2011,Strategy,Nintendo,Rockstar Games,4/29/2024,1.88,45.27,11.39,3.58,4.33,9.81,2263.48,49.09,721333,2.17,22.27,74.53,10.07,Adventure,-90.86
Red Dead Redemption 2,Switch,2011,RPG,Nintendo,Rockstar Games,10/15/2021,3.95,56.46,5.97,3.07,0.69,2.85,2823.11,41.68,576600,6.62,68.32,73.32,7.13,Racing,24.72
The Witcher 3: Wild Hunt,PC,2023,Strategy,Square Enix,Treyarch,5/2/2013,8.65,969.70,14.80,7.15,1.31,6.53,48485.20,57.93,907667,4.90,48.18,64.94,14.37,Adventure,1617.44
FIFA 22,GameCube,2024,Sports,Ubisoft,Nintendo,7/8/2023,4.50,3032.90,13.52,4.50,3.54,8.96,151645.05,52.73,839089,2.62,53.65,86.26,5.90,Shooter,212.77
Minecraft,PC,2025,Sports,Bethesda,Nintendo,8/8/2018,1.84,6670.68,6.97,6.95,0.17,3.56,333534.02,54.39,887291,5.12,87.05,61.27,9.74,Sports,119.94
Call of Duty: Modern Warfare 2,SNES,2012,RPG,Activision,Ubisoft,6/24/2022,2.74,58.69,16.37,8.64,2.23,8.28,2934.28,55.08,156065,3.58,85.30,71.54,11.86,Racing,-99.12
The Legend of Zelda: Breath of the Wild,Xbox 360,2019,Action,Activision,Nintendo,8/10/2010,9.75,721.21,6.25,2.59,0.46,0.63,36060.58,55.51,459995,1.62,55.61,89.47,6.28,Platform,1128.94
The Legend of Zelda: Breath of the Wild,NES,2013,Puzzle,Activision,EA Sports,10/16/2021,8.74,134.78,6.04,6.75,4.66,0.57,6739.12,58.01,851371,1.28,58.30,70.91,8.28,Sports,-81.31
The Witcher 3: Wild Hunt,PC,2025,Shooter,Square Enix,Rockstar Games,3/23/2014,7.45,6942.31,13.37,5.08,0.67,4.76,347115.52,46.39,710266,2.58,49.17,76.40,13.53,RPG,5050.75
